Country,Total population,% Catholic,Catholic total
Afghanistan ( details ),29928987,0.0003%,100
Albania ( details ),3020000,"10% http://www.instat.gov.al/en/census/census-2011/census-data.aspx latest albanian census, 2011",302000
Algeria ( details ),32531853,"0.14% Deeb, Mary Jane. ""Religious minorities"" Algeria (Country Study) . Federal Research Division, Library of Congress; Helen Chapan Metz, ed. December 1993. ''This article incorporates text from this source, which is in the public domain . [http://lcweb2.loc.gov/frd/cs/about.html]",45000
Andorra ( details ),70000,88.2%,61740
Angola ( details ),31100000,41.1% -50% [https://2009-2017.state.gov/j/drl/rls/irf/religiousfreedom/index.htm#wrapper International Religious Freedom Report for 2015 Angola] -56.4% -60%,"12,500,000-20,000,000"
Antigua and Barbuda ( details ),84522,8.2%,6930
Argentina ( details ),42000000,62.9% [http://www.ceil-conicet.gov.ar/wp-content/uploads/2019/11/ii25-2encuestacreencias.pdf Segunda Encuesta Nacional Sobre Creencias y Actitudes Religiosas en Argentina 2019] -63.3% [http://www.latinobarometro.org/latOnline.jsp Latinobarómetro (2018)] -66% -71%,"26,000,000 - 29,820,000"
Armenia ( details ),2982904,1%,29829
Australia ( details ),23400000,22.6%,5292000
Austria ( details ),8900000,55.9%,"4,984,633 [https://www.katholisch.at/aktuelles/128508/knapp-5-millionen-katholiken-in-sterreich Knapp 5 Millionen Katholiken in Österreich] , Cathoic Church Austria"
Azerbaijan ( details ),8581400,0.03%,2574
Bahamas ( details ),330000,12%,39600
Bahrain ( details ),800000,8.9%,71200
Bangladesh ( details ),158000000,0.07%,110000
Barbados ( details ),250012,4.2%,10000
Belarus ( details ),9500000,7.1%,674500
Belgium ( details ),11200000,"57.1% -58% [http://ec.europa.eu/public_opinion/archives/ebs/ebs_393_en.pdf Special Eurobarometer 393 - Discrimination in the European Union in 2012] p. T98, T99 (233-234).",6500000
Belize ( details ),334000,40% [http://www.belize.com/belize-demographics 2010 Census of Belize Detailed Demographics of 2000 and 2010] . belize.com (2011).,133600
Benin ( details ),7460025,26.6%,1984366
Bhutan ( details ),2232291,0.06%,1339
Bolivia ( details ),10500000,"70% [https://www.statista.com/statistics/1066911/religious-affiliation-in-bolivia/ Religion affiliation in Bolivia as of 2018. Based on Latinobarómetro.] Survey period: June 15 to August 2, 2018, 1,200 respondents. -73% -77%",7980000
Bosnia and Herzegovina ( details ),3531159,15.19%,536333
Botswana ( details ),1640115,4.9%,80365
Brazil ( details ),210600000,"54% -61% -64.6% [https://veja.abril.com.br/blog/reinaldo/o-ibge-e-a-religiao-cristaos-sao-86-8-do-brasil-catolicos-caem-para-64-6-evangelicos-ja-sao-22-2/ O IBGE e a religião — Cristãos são 86,8% do Brasil; católicos caem para 64,6%; evangélicos já são 22,2%] Reinaldo Azevedo in Veja -65.0%","123,000,000 - 134,000,000 [http://g1.globo.com/mundo/noticia/2013/03/america-latina-abriga-40-dos-catolicos-do-mundo.html América Latina abriga 40% dos católicos do mundo] - 140,000,000 [https://www.gaudiumpress.org/content/24332-Mexico-e-o-segundo-pais-com-mais-catolicos-no-mundo--informam-dados-oficiais-mexicanos México é o segundo país com mais católicos no mundo, informam dados oficiais mexicanos] [https://catracalivre.com.br/viagem-livre/importancia-do-turismo-religioso-pelo-mundo/ A importância do turismo religioso pelo mundo]"
Brunei ( details ),372361,5%,18618
Bulgaria ( details ),7450349,0.5%,37251
Burkina Faso ( details ),13925313,17%,2367303
Burundi ( details ),12000000,62.1%,7440000
Cabo Verde ( details ),512096,77.3%,395850
Cambodia ( details ),13607069,<0.1%,"<10,000"
Cameroon ( details ),25640965,38.4%,9846000
Canada ( details ),35770000,38.7%,13843000
Central African Republic ( details ),3799897,29%,949974
Chad ( details ),12000000,20% -22.8% [http://www.globalreligiousfutures.org/countries/chad/religious_demography#/?affiliations_religion_id=0&affiliations_year=2010 Pew Research Center's Religion & Public Life Project: Chad] . Pew Research Center . 2010.,2520000
Chile ( details ),18000000,"45% [https://encuestabicentenario.uc.cl/resultados/ ""Encuesta Nacional Bicentenario 2019: Religión""] /55% /66.6% 8 236 900 out of 12 366 108 people over 15 years of age.","8,100,000 - 12,000,000"
China ( details ),1400000000,0.43%-0.7%,"6,000,000 -12,000,000"
Colombia ( details ),48000000,"70.9% Based on a 2010 survey in &ldquo; major 
cities throughout the country, many mid-size cities, and the rural region of Uraba &rdquo; . -73% [http://www.cooperativa.cl/noticias/site/artic/20180112/asocfile/20180112124342/f00006494_religion_chile_america_latina_2017.pdf Latinobarometro] retrieved 8 February 2018 -75% -79%",35000000
Comoros ( details ),800000,0.2%,1600
"Congo, Republic of ( details )",5062021,33.1% -52.9%,"1,675,529-2,409,661"
"Congo, Democratic Republic of ( details )",100000000,"36.8% -45% [https://2009-2017.state.gov/j/drl/rls/irf/religiousfreedom/index.htm#wrapper International Religious Freedom Report for 2015 Congo, Democratic Republic of the] -47.3% -55.8%","36,800,000 - 55,800,000"
Costa Rica ( details ),5000000,52% -57% -62% -71.8%,"2,600,000 - 3,100,000"
Croatia ( details ),4284889,86.3% R,3698000
Cuba ( details ),11163934,51.7% -60% [https://www.state.gov/wp-content/uploads/2019/01/Cuba-2.pdf CUBA 2017 INTERNATIONAL RELIGIOUS FREEDOM REPORT],6000000
Cyprus ( details ),1100000,2.9%,11000
Czech Republic ( details ),10500000,10.2% -21% -27.1%,1071000
Côte d'Ivoire ( details ),23800000,21.4%,5093000
Denmark ( details ),5630000,0.7%,40000
Djibouti ( details ),476703,0.2%,953
Dominica ( details ),71540,58.1%,41564
Dominican Republic ( details ),10400000,48% -57%,"4,992,000 - 5,928,000"
East Timor ( details ),1054000,97.57% -98.3%,1021000
Ecuador ( details ),15223680,77.0% -79% -80.4%,11265523
Equatorial Guinea ( details ),1620000,80.7%,1410000
Egypt ( details ),77505756,0.1%,187320
El Salvador ( details ),7000000,39% -47% -50%,2730000
Eritrea ( details ),4561599,3.3%,150532
Estonia ( details ),1332893,0.3%,3998
Ethiopia ( details ),73053286,0.7%,584426
Federated States of Micronesia ( details ),104468,52.6% -55%,60000
Fiji ( details ),893354,9.1%,80401
Finland ( details ),5451270,0.2%,12434
France ( details ),66600000,47% -48% -51% -57% [https://www.reforme.net/actualite/societe/sondage-les-protestants-en-france-en-2017-1-qui-sont-les-protestants/ Les protestants en France en 2017] Ipsos. -60% –66%,"31,300,000–44,000,000"
Gabon ( details ),1389201,50%,694600
Gambia ( details ),1593256,2.1%,33458
Georgia ( details ),4677401,0.8%,84193
Germany ( details ),83100000,27.2% [https://www.dbk.de/nc/presse/aktuelles/meldung/kirchenstatistik-2019/detail/ 2019 church data],22600000
Ghana ( details ),21029853,12.9%,2712851
Greece ( details ),11170957,0.4%,44683
Grenada ( details ),89502,44.6%,39917
Guatemala ( details ),15773000,43% -45% -50%,7000000
Guinea ( details ),9467866,2.6%,246164
Guinea-Bissau ( details ),1416027,8.9%,126026
Guyana ( details ),765283,8.1%,91833
Haiti ( details ),10000000,54.7% -56.7% -56.8% [http://www.globalreligiousfutures.org/countries/haiti#/?affiliations_religion_id=11&affiliations_year=2010&region_name=All%20Countries&restrictions_year=2015 Haiti],5470000
Honduras ( details ),8800000,37% -46%,"3,256,000-4,048,000"
